EKO 4h of Bulgaria – Final,,,,,,,,,,
,,,,,,,,,,
22/10/2022 - 14:55,,,,,,,,,,
,,,,,,,,,,
17 - SÉLESTAT KART INDOOR,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
210,55.629,55.257,55.283,55.272,55.333,55.715,55.772,55.152,55.32,55.57
220,55.45,55.517,55.299,177.017,56.421,56.102,56.377,56.41,56.84,56.857
230,56.293,55.658,56.083,57.124,55.742,55.604,56.302,56.291,,
,,,,,,,,,,
43 - AIRSOFT.BG,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.935,57.324,56.48,56.009,56.446,56.211,56.584,56.979,56.268
10,56.212,56.174,56.231,56.688,56.24,57.638,57.133,56.14,56.008,55.937
20,56,56.169,56.213,55.927,56.619,56.329,56.278,57.031,56.309,57.382
30,56.742,56.417,56.24,57.799,56.508,57.158,56.349,56.792,57.307,56.26
40,57.389,176.605,56.274,55.64,56.021,55.861,55.712,56.266,55.735,55.744
50,55.928,56.088,55.698,55.853,56.334,56.207,55.972,55.775,55.81,55.561
60,55.99,55.766,55.674,55.52,56.465,55.822,55.945,55.84,56.925,55.665
70,56.032,176.174,58.114,57.051,56.813,55.836,55.584,56.07,55.705,55.553
80,55.428,55.578,55.603,55.708,55.569,55.401,55.424,55.502,55.155,55.338
90,55.35,56.387,55.523,56.561,55.602,55.47,55.513,56.245,55.543,55.608
100,55.633,55.333,55.094,55.16,55.344,55.746,55.359,55.595,55.434,55.194
110,55.298,55.441,55.499,55.497,176.739,57.478,57.627,56.31,56.147,56.807
120,56.423,55.813,56.118,105.857,94.255,88.996,78.141,101.075,61.408,58.563
130,58.224,57.801,59.185,57.313,57.242,56.668,57.97,57.428,56.843,56.689
140,57.231,56.7,56.69,57.795,58.446,56.984,57.235,57.76,176.75,55.712
150,55.181,55.555,55.808,56.362,55.348,55.926,56.514,55.937,55.084,55.565
160,55.358,55.54,55.805,55.406,56.101,55.729,56.024,55.148,55.461,55.911
170,55.284,56.025,55.326,55.129,55.14,55.302,54.708,54.841,55.101,54.862
180,55.399,55.38,55.077,54.905,54.817,54.9,54.789,54.9,55.066,55.342
190,55.288,176.47,55.455,55.827,55.638,55.41,55.297,55.53,55.481,55.363
200,55.446,55.128,55.5,55.566,55.365,55.442,55.39,55.428,55.44,55.615
210,54.883,56.134,55.171,56.024,177.277,175.786,55.311,184.283,55.201,55.274
220,55.481,55.315,56.101,55.626,55.215,54.852,56.383,55.968,55.09,55.286
230,55.177,55.075,54.868,55.101,55.41,54.937,55.284,55.321,,
,,,,,,,,,,
18 - VMW,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.345,58.036,57.43,56.395,56.358,56.493,56.881,56.476,56.494
10,56.836,56.604,56.21,56.412,56.508,177.054,57.576,56.31,56.078,56.746
20,57.391,56.032,56.546,56.985,56.758,55.9,55.865,55.67,55.976,55.873
30,56.038,55.691,55.656,56.079,55.567,55.912,56.064,177.276,57.056,55.891
40,56.408,55.523,57.451,56.811,55.723,55.709,55.807,55.634,55.982,56.296
50,55.73,55.848,56.1,55.333,55.558,55.698,55.623,55.924,55.631,56.353
60,55.296,56.647,55.661,55.859,56.948,56.867,56.959,57.171,175.621,57.566
70,56.646,56.681,56.552,56.274,56.311,57.15,56.651,57.28,56.182,56.485
80,56.331,56.54,55.895,56.667,57.289,55.677,56.116,55.569,55.494,56.735
90,56.799,55.839,55.75,55.888,55.946,56.548,56.585,56.233,56.347,56.065
100,55.598,56.212,56.304,176.291,57.256,56.648,57.658,58.01,56.924,57.208
110,56.746,57.027,56.785,56.568,56.869,57.373,57.486,56.768,57.074,56.874
120,56.771,82.512,100.148,91.127,72.986,88.793,58.388,58.184,56.991,57.708
130,58.538,57.335,56.208,56.518,55.978,56.301,56.322,56.252,56.138,57.526
140,178.176,56.624,56.147,56.939,56.197,56.778,56.809,56.399,56.785,56.142
150,56.164,56.555,56.922,56.175,56.954,56.389,55.984,55.754,56.36,55.784
160,56.888,56.175,56.3,56.283,55.883,56.336,56.033,56.413,178.677,56.074
170,55.987,55.829,55.783,55.948,55.822,55.641,55.736,56.37,55.497,56.935
180,55.902,56.158,56.087,55.407,56.167,56.097,55.825,55.494,55.682,55.653
190,55.157,55.299,55.51,55.603,55.519,55.353,55.885,55.085,57.19,56.209
200,55.454,56.098,55.425,55.355,55.642,178.526,56.367,57.171,55.825,55.223
210,55.471,56.327,55.622,56.365,55.275,55.104,55.478,55.309,175.874,56.249
220,55.573,56.244,55.629,55.912,55.797,55.433,55.747,55.782,56.335,55.688
230,55.495,56.372,56.377,56.794,55.505,56.18,56.1,,,
,,,,,,,,,,
5 - SUPER MARIO RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,56.435,56.569,55.329,55.383,55.561,55.623,56.74,56.644,56.729
10,55.478,55.232,55.728,55.624,55.641,56.249,55.682,55.959,56.459,56.292
20,55.931,55.891,56.029,56.254,56.427,55.677,56.57,56.275,179.729,58.255
30,58.048,57.737,57.041,57.349,57.56,56.145,57.161,57.709,56.578,56.697
40,57.485,56.737,56.615,56.27,57.552,55.993,56.498,56.474,57.13,56.747
50,57.137,55.962,56.634,56.224,178.686,56.981,55.172,54.807,55.021,54.817
60,54.66,55.338,54.783,55.385,55.51,54.863,55.818,55.554,56.455,55.336
70,55.424,55.608,57.056,55.495,54.878,55.107,55.223,55.336,55.019,54.915
80,54.866,55.212,55.407,178.325,57.695,56.442,56.616,56.37,56.866,56.165
90,56.194,56.108,56.344,56.561,56.574,56.48,56.801,56.399,56.75,56.25
100,56.342,56.67,56.066,56.27,55.875,57.451,57.198,179.901,57.921,56.486
110,57.16,56.104,56.551,56.774,56.355,55.969,56.321,56.75,56.477,59.082
120,55.795,94.424,98.961,91.67,74.013,91.106,58.908,58.777,56.939,58.766
130,58.767,58.004,60.007,58.105,180.085,55.865,55.167,55.135,54.807,55.259
140,56.034,55.437,56.031,55.411,54.925,56.156,54.963,55.385,56.56,56.237
150,55.761,55.629,55.467,55.111,55.03,54.624,55.211,55.848,55.043,54.768
160,54.923,55.101,54.53,54.937,55.455,178.716,57.025,56.675,56.38,56.66
170,56.971,56.791,56.017,55.648,56.16,55.865,56.836,56.49,56.399,56.044
180,58.025,56.027,56.129,55.604,55.833,56.037,56.159,56.494,55.607,55.88
190,178.689,58.028,56.77,57.008,57.116,57.03,58.063,57.254,58.561,57.229
200,56.472,57.235,56.935,57.607,57.391,56.703,57.354,57,56.765,57.257
210,58.074,56.622,56.916,56.614,179.238,55.13,55.544,55.856,55.188,55.75
220,56.35,55.245,54.756,55.052,54.99,55.252,54.982,54.906,55.086,54.968
230,55.263,55.044,55.309,56.096,55.569,56.043,55.234,,,
,,,,,,,,,,
47 - SUICIDE SQUAD,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,69.017,56.446,55.824,55.549,57.205,57.73,55.492,56.368,56.178
10,56.405,55.901,57.025,56.817,56.315,56.149,57.286,56.024,55.614,56.503
20,56.028,56.093,56.272,56.257,55.872,56.02,55.946,55.867,55.714,55.815
30,55.989,56.078,55.571,58.244,55.793,56.162,178.094,56.945,56.477,56.949
40,56.985,58.026,56.826,57.622,57.125,57.98,56.689,55.958,55.597,56.191
50,56.295,56.088,56.943,56.106,56.471,55.718,55.851,56.196,56.483,55.618
60,56.2,55.872,55.992,55.536,55.913,56.644,56.562,55.716,55.905,56.445
70,56.095,56.238,178.803,57.203,55.937,56.169,56.071,55.646,57.652,56.802
80,56.014,56.336,56.582,55.673,56.121,55.499,56.573,56.394,56.086,55.974
90,56.228,55.85,56.817,55.955,56.704,56.4,55.89,57.435,56.725,57.308
100,56.559,56.445,56.147,56.039,56.123,55.927,178.387,57.081,56.16,56.588
110,56.839,56.063,56.33,58.042,58.671,58.075,57.109,57.151,55.311,56.061
120,56.031,56.357,106.145,94.073,88.968,78.149,101.092,61.357,58.744,61.254
130,57.164,57.305,57.645,56.651,57.23,56.586,57.81,56.224,56.582,179.394
140,56.751,56.229,56.362,56.595,56.375,57.356,57.017,57.339,56.63,55.971
150,56.468,56.003,56.268,56.453,55.926,56.859,56.372,56.138,55.755,56.16
160,56.717,56.541,55.712,55.972,55.556,56.033,56.331,55.981,56.087,56.355
170,177.909,57.225,56.96,56.034,56.18,56.044,55.943,56.319,57.356,56.336
180,57.761,56.133,57.555,55.905,56.484,55.852,55.648,56.15,55.928,55.779
190,55.774,55.66,55.788,56.301,56.361,56.296,55.861,55.566,56.125,56.197
200,176.599,56.109,177.114,55.739,56.137,64.742,55.727,57.42,55.478,59.671
210,56.24,55.981,56.822,57.72,56.821,176.39,57.159,56.658,55.818,55.741
220,56.025,56.558,55.925,55.73,55.518,55.434,55.702,55.75,55.338,55.15
230,55.418,55.134,56.454,55.21,55.364,,,,,
,,,,,,,,,,
15 - CLUBSPEED BG,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.685,56.308,55.714,56.187,56.041,55.878,55.742,55.628,55.262
10,55.768,55.39,56.229,55.628,56.052,55.804,55.396,56.139,55.85,55.638
20,55.479,55.708,55.729,56.119,55.444,55.418,55.981,55.851,57.395,55.555
30,55.308,55.496,55.705,55.787,55.605,55.901,55.546,56.007,55.391,55.514
40,55.655,55.641,173.744,56.223,55.96,56.392,55.939,55.836,56.32,56.389
50,57.769,56.931,55.6,56.569,57.147,55.807,55.646,55.433,55.571,55.095
60,55.639,55.332,56.643,55.215,55.781,55.449,55.978,55.358,55.366,56.012
70,55.664,55.893,55.191,55.402,56.037,55.415,55.62,55.896,55.772,56.207
80,56.701,56.711,57.016,175.85,56.997,56.435,55.939,56.152,55.51,55.503
90,55.449,55.608,55.466,64.443,57.038,55.805,55.798,55.409,56.223,57.118
100,56.561,57.394,55.821,175.738,176.094,55.79,55.213,54.681,55.417,55.359
110,55.025,56.05,54.996,54.871,54.996,54.989,54.833,55.191,54.884,55.013
120,54.868,54.999,91.386,99.851,91.089,73.896,90.429,57.308,57.425,57.942
130,57.867,56.989,55.52,55.305,56.065,56.34,55.648,55.335,55.251,55.406
140,55.455,55.16,54.932,179.173,56.671,56.23,56.439,56.556,56.987,56.275
150,56.204,56.082,56.144,57.429,56.527,56.235,176.735,56.037,56.168,55.026
160,55.334,55.669,55.239,56.32,55.407,56.015,55.424,55.951,55.378,55.94
170,55.372,55.059,55.428,55.529,55.149,55.92,55.215,55.358,55.154,55.582
180,54.784,55.208,54.948,55.565,54.863,55.258,55.389,55.399,54.948,55.001
190,55.2,55.519,56.6,55.469,176.805,56.369,54.845,54.99,54.896,54.914
200,55.574,55.227,54.817,55.02,55.332,55.408,54.978,55.117,55.538,55.402
210,55.084,54.974,54.73,175.117,176.266,176.027,55.15,55.068,56.222,55.275
220,55.228,54.974,55.008,55.076,55.123,55.167,54.923,55.119,56.504,55.489
230,55.22,55.126,55.386,56.338,56.803,,,,,
,,,,,,,,,,
44 - BEOKART GP,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.196,55.666,55.478,55.129,55.234,54.987,55.367,55.263,56.596
10,54.877,54.994,55.613,55.812,55.384,55.529,55.283,55.311,55.104,55.071
20,55.414,55.136,55.342,55.701,55.566,55.365,55.441,55.239,55.097,55.51
30,56.349,55.369,55.258,55.153,176.722,56.807,55.902,55.811,55.517,55.688
40,55.498,55.748,55.618,55.836,56.995,56.616,55.736,56.962,55.929,55.733
50,55.955,55.632,55.9,55.822,56.096,55.508,55.701,55.54,56.676,176.267
60,56.644,55.616,55.83,56.595,56.644,55.461,55.75,55.842,55.999,55.694
70,55.687,56.075,56.828,55.829,55.431,55.437,55.767,55.562,56.235,55.691
80,172.115,56.373,56.026,56.078,56.132,56.161,56.805,55.857,55.555,55.531
90,55.926,56.166,55.68,55.846,55.734,55.726,55.166,56.278,55.506,190.587
100,55.687,55.388,54.837,55.57,55.503,55.133,55.2,55.567,56.078,55.594
110,55.365,55.156,55.084,56.184,55.389,55.505,54.935,55.176,55.655,54.853
120,55.362,54.686,97.779,98.932,88.743,76.371,93.049,57.375,56.27,57.52
130,55.866,56.43,55.013,55.643,55.417,176.717,55.249,55.579,55.204,55.764
140,55.236,55.01,55.286,55.199,55.352,54.9,55.411,55.047,54.918,55.521
150,55.736,56.389,55.492,55.399,54.941,55.433,55.078,55.693,56.896,55.571
160,54.991,55.487,55.628,55.657,55.411,55.325,176.281,56.246,55.545,55.778
170,56.219,56.068,55.56,55.308,56.188,56.245,55.211,56.03,56.228,55.997
180,60.348,56.027,178.114,57.512,56.196,56.479,55.955,55.813,56.639,55.792
190,56.361,55.925,55.713,57.214,56.544,57.05,56.075,56.154,57.466,56.318
200,176.946,54.973,55.545,54.78,55.488,54.843,54.806,54.73,55.052,55.281
210,57.669,55.356,54.904,54.757,55.421,55.007,54.956,175.767,176.467,56.099
220,55.066,55.256,54.907,55.904,55.312,54.704,54.806,55.567,55.445,54.685
230,54.734,54.912,54.769,54.907,54.976,,,,,
,,,,,,,,,,
7 - GT3 RS,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.977,55.879,55.193,55.221,54.994,55.34,55.215,55.503,55.317
10,55.652,55.432,55.519,55.357,55.257,55.473,55.386,55.486,55.645,55.338
20,56.011,55.467,55.472,55.276,55.095,55.331,55.445,55.416,55.512,55.192
30,55.41,55.361,55.581,55.284,55.358,55.439,55.498,55.79,55.268,55.409
40,175.651,56.318,56.194,56.457,56.227,56.072,55.628,56.079,55.898,56.031
50,55.513,55.517,56.025,55.52,55.582,55.446,55.399,55.038,56.139,55.196
60,55.903,56.162,55.555,55.533,55.368,55.494,55.452,55.639,55.536,56.022
70,56.565,56.971,57.148,55.374,55.452,55.743,56.317,55.467,55.364,55.052
80,175.442,56.195,55.563,55.621,55.427,55.76,55.604,55.855,55.554,55.251
90,55.378,55.405,54.979,55.607,55.472,55.257,55.897,55.594,56.364,54.99
100,55.351,55.694,55.488,55.264,55.104,55.694,55.609,55.365,55.157,55.278
110,56.485,55.289,55.507,175.198,56.852,56.968,56.287,55.877,55.89,56.034
120,55.894,56.306,55.587,56.061,106.217,95.238,89.804,78.851,101.081,58.505
130,56.637,57.199,56.142,56.267,56.743,56.054,55.713,55.456,55.494,55.72
140,55.662,55.564,56.802,55.858,56.851,56.931,55.927,56.059,176.792,55.553
150,55.212,56.408,56.323,55.899,57.898,56.039,55.793,55.229,55.436,55.058
160,55.087,55.416,55.509,55.567,54.949,55.229,55.809,55.289,55.891,55.326
170,55.912,54.853,55.25,54.916,55.638,55.213,55.193,178.302,55.372,56.937
180,55.883,55.474,61.325,55.54,55.299,55.227,55.377,56.394,56.219,55.681
190,55.055,55.287,55.002,55.058,56.673,55.209,55.193,55.144,55.084,54.91
200,55.503,55.152,56.106,55.247,54.735,180.42,55.355,55.29,175.446,180.466
210,57.669,176.319,55.321,56.374,58.078,55.277,54.962,54.635,55.523,54.703
220,55.747,56.123,175.611,54.976,56.11,59.565,58.439,56.303,57.756,56.453
230,57.267,55.543,55.772,55.293,,,,,,
,,,,,,,,,,
30 - PLOVDIV KART & FRIENDS,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.431,56.333,55.863,56.152,56.012,56.434,55.683,55.919,55.693
10,56.558,55.788,55.971,56.046,56.059,56.592,56.311,56.265,176.49,56.102
20,55.335,55.585,56.026,55.886,55.391,55.983,55.486,55.949,55.224,55.55
30,55.563,55.658,55.854,55.444,55.477,55.544,56.864,55.189,55.984,55.424
40,55.366,55.376,55.424,56.131,55.209,55.404,55.184,56.078,56.188,55.341
50,57.059,57.918,57.583,58.189,59.149,56.227,55.723,55.428,55.686,56.136
60,177.1,56.72,56.135,56.185,56.044,55.938,56.28,56.573,56.427,56.041
70,56.234,56.551,56.31,56.442,56.483,56.187,56.486,55.991,57.352,56.298
80,56.138,56.359,56.246,176.172,56.075,55.461,55.383,55.476,55.243,55.197
90,55.032,55.073,55.737,55.233,55.206,55.827,55.765,56.075,55.15,54.993
100,56.264,55.754,54.946,55.199,55.279,56.397,55.963,56.68,55.42,55.21
110,55.714,175.583,57.975,56.428,56.31,55.983,56.149,56.12,56.608,56.172
120,55.615,105.459,95.15,89.857,78.782,101.075,57.548,55.695,55.752,55.584
130,55.685,55.971,56.038,55.929,55.864,55.845,56.374,56.032,56.3,55.547
140,58.055,55.96,56.047,55.52,55.778,56.132,57.109,176.763,176.212,55.484
150,55.523,55.591,55.632,55.403,55.834,55.71,56.252,55.677,55.397,56.091
160,55.828,55.643,55.732,55.519,55.927,55.631,55.696,55.697,55.461,55.714
170,56.136,55.47,55.485,55.856,55.9,55.791,56.244,56.144,55.994,57.283
180,55.406,55.877,55.607,55.466,56.346,55.92,55.741,56.112,55.545,55.498
190,56.041,175.982,56.237,56.142,55.772,55.924,55.765,55.654,55.817,56.323
200,55.74,56.024,56.478,55.885,56.512,56.781,55.756,55.719,55.784,55.895
210,56.733,176.087,176.164,175.327,55.535,55.106,55.116,56.549,55.435,55.467
220,55.634,55.123,55.05,55.052,54.894,55.551,55.239,55.308,55.191,55.301
230,55.147,56.124,55.055,55.25,,,,,,
,,,,,,,,,,
34 - BS RACING TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.336,55.501,55.179,55.443,55.316,55.604,55.661,55.538,55.985
10,55.346,55.502,55.61,55.475,55.72,55.539,55.531,55.518,55.362,55.887
20,180.084,56.535,55.904,56.238,55.428,55.421,54.982,55.826,55.478,55.962
30,56.932,55.468,55.044,55.429,54.82,55.517,55.442,55.024,55.286,55.222
40,177.21,56.253,55.241,55.475,55.135,56.034,55.933,55.204,56.756,55.518
50,56.22,55.919,55.165,55.545,55.287,55.496,55.577,55.415,55.436,55.749
60,55.535,55.194,55.605,55.466,55.655,55.747,55.773,55.701,177.539,56.456
70,55.563,55.144,55.174,55.559,54.978,56.163,58.285,56.332,56.31,54.941
80,55.547,57.639,55.108,55.68,54.837,55.091,54.717,55.33,54.792,54.811
90,54.955,54.704,54.641,55.475,176.203,56.408,55.61,55.792,56.265,56.357
100,55.833,56.593,58.033,56.022,55.614,56.309,56.188,55.974,56.03,55.962
110,55.812,55.722,55.868,55.98,55.916,56.114,56.105,56.145,55.822,56.244
120,56.17,56.939,98.403,98.281,84.891,79.698,93.671,60.353,57.779,56.826
130,56.227,56.034,55.909,56.161,55.606,56.303,55.623,181.918,57.102,56.677
140,55.826,56.906,55.834,55.554,55.819,56.523,55.544,55.693,55.875,56.828
150,55.704,55.619,55.711,56.337,55.612,56.088,55.679,177.829,56.488,55.328
160,55.39,56.085,56.175,56.18,55.14,176.73,56.153,55.589,55.369,56.207
170,55.212,57.514,55.022,54.479,55.313,55.314,56.255,55.549,55.013,55.609
180,55.648,55.312,55.078,55.073,176.936,54.922,54.959,55.217,55.647,56.198
190,55.332,55.059,55.072,55.376,54.988,55.397,178.119,55.656,55.588,55.037
200,55.851,55.041,55.051,55.481,55.067,55.712,55.075,55.259,55.311,55.512
210,55.81,55.543,55.522,57.56,58.131,55.673,55.181,177.362,54.962,55.652
220,56.072,54.926,55.087,54.947,55.007,54.934,55.041,55.046,55.35,55.049
230,55.458,55.092,55.363,55.118,55.269,,,,,
,,,,,,,,,,
32 - MONTANA 2,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.836,56.356,56.094,56.752,57.19,55.952,55.657,56.251,55.733
10,56.273,56.263,55.634,56.5,56.267,56.185,56.367,55.924,56.119,55.773
20,56.28,56.113,56.611,56.084,55.881,56.258,55.747,55.686,55.798,55.728
30,177.886,56.221,55.06,55.3,55.452,54.86,55.299,55.14,55.599,55.118
40,55.167,55.163,55.142,55.148,55.177,55.387,55.32,55.394,55.347,55.108
50,57.845,56.411,55.567,55.568,55.454,55.237,55.401,55.124,55.262,55.018
60,55.463,55.467,56.428,55.452,55.288,55.355,55.579,56.064,55.524,55.376
70,175.423,57.917,57.88,56.436,56.491,56.214,56.982,56.027,56.214,58.538
80,57.151,56.729,56.479,56.027,57.715,56.529,55.936,55.966,56.885,56.171
90,57.791,55.796,57.107,57.402,58.659,56.082,56.23,56.461,56.264,56.11
100,55.959,56.174,56.335,55.838,56.371,56.573,56.4,177.038,55.901,56.209
110,55.532,55.745,54.961,55.271,57.324,55.039,54.685,54.85,55.066,54.737
120,55.024,54.979,55.347,55.281,87.335,100.231,90.895,72.783,90.01,56.885
130,57.088,57.035,58.009,55.724,55.469,55.499,55.209,55.272,55.958,55.322
140,54.992,55.159,55.053,55.516,177.443,56.568,56.23,56.282,56.735,56.418
150,56.575,55.977,55.723,56.488,55.993,56.133,56.432,56.525,56.348,56.164
160,56.167,56.234,56.078,55.959,176.278,55.17,54.922,55.01,55.272,55.003
170,55.371,55.324,55.086,54.986,55.017,54.801,54.951,55.268,56.533,55.089
180,55.058,55.267,54.996,55.193,55.137,54.928,54.785,55.077,55.009,56.609
190,55.631,55.002,55.204,55.29,54.958,55.297,54.959,55.161,55.008,54.914
200,55.099,179.201,176.788,176.968,175.874,54.993,55.363,54.869,54.672,55.16
210,54.581,56.017,54.592,55.03,55.252,178.444,55.962,55.544,55.764,56.423
220,57.147,56.306,55.952,56.194,56.133,55.746,56.433,56.572,56.026,56.917
230,56.105,56.551,56.671,56.084,,,,,,
,,,,,,,,,,
2 - X3,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.747,58.073,57.133,56.194,55.79,56.086,56.121,55.962,56.092
10,56.29,55.714,56.084,56.034,56.25,56.353,178.914,56.355,55.533,56.396
20,56.249,55.352,55.673,55.51,55.482,55.91,55.417,55.923,55.764,55.916
30,55.593,55.439,56.007,56.445,55.336,56.713,56.016,54.994,55.738,55.45
40,55.289,55.234,56.007,55.322,55.597,55.341,55.312,55.361,55.206,55.391
50,55.328,55.158,55.297,56.555,58.707,55.872,177.254,57.945,56.808,56.241
60,56.458,56.35,57.315,56.507,56.605,55.998,58.85,56.298,56.8,56.948
70,55.943,56.925,56.863,56.431,60.576,57.371,56.685,56.239,177.865,56.906
80,55.612,56.23,55.817,55.584,55.5,55.395,55.585,56.081,55.716,56.054
90,55.497,55.74,55.597,55.879,56.027,56.553,56.321,55.661,55.777,55.857
100,55.684,55.376,55.457,55.758,55.853,58.182,175.644,56.791,57.108,55.509
110,55.939,55.992,56.234,55.783,56.017,56.375,56.256,55.571,55.934,56.128
120,55.76,99.729,98.478,83.273,79.705,94.971,58.036,57.862,57.911,56.274
130,55.681,56.019,55.892,55.393,55.41,55.572,55.671,55.819,55.463,55.713
140,55.42,55.656,56.183,179.109,56.672,56.532,56.703,56.372,56.315,56.655
150,56.704,55.575,55.855,55.964,56.825,56.223,56.402,56.145,55.879,55.646
160,56.032,55.669,55.769,55.649,55.91,56.122,55.763,55.811,55.863,55.317
170,175.817,55.301,55.448,55.006,55.541,55.171,56.045,55.804,55.334,55.312
180,55.369,56.67,176.317,56.797,57.247,56.32,56.065,56.093,56.222,56.689
190,56.469,56.461,176.035,55.638,55.3,55.05,55.455,55.275,55.246,55.31
200,55.451,56.052,55.466,176.901,55.151,54.788,54.85,55.243,55.297,54.875
210,55.302,55.284,56.577,58.099,56.907,174.471,55.852,55.574,59.072,55.733
220,56.076,55.448,55.105,56.142,55.381,55.921,55.522,55.577,56.163,55.751
230,56.778,55.029,55.903,,,,,,,
,,,,,,,,,,
20 - FANNY FLUTTERS RACING TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.718,57.98,56.785,56.569,56.371,56.425,55.796,55.481,55.24
10,55.988,55.354,55.479,55.555,55.576,56.486,56.518,56.133,177.048,57.228
20,56.24,55.753,56.427,55.807,56.099,55.897,56.846,55.581,56.873,55.455
30,56.512,56.072,56.128,56.669,56.027,56.242,177.138,58,56.771,56.819
40,56.616,56.415,57.355,56.353,57.029,57.407,56.822,56.669,56.742,56.872
50,56.703,56.721,57.189,56.012,57.394,56.273,56.592,177.87,56.506,55.933
60,55.809,55.712,56.052,55.601,56.122,55.698,55.265,56.428,55.721,55.41
70,55.701,55.745,55.403,55.772,57.142,57.38,55.704,177.333,56.738,57.074
80,55.808,56,55.499,55.797,55.276,55.529,55.698,55.604,55.919,55.75
90,55.902,55.649,55.695,55.352,55.906,55.429,55.481,55.302,55.289,55.695
100,56.058,56.437,176.598,56.442,56.317,55.909,55.702,55.902,55.078,55.567
110,56.074,55.54,56.198,55.806,55.604,56.089,55.692,56.268,55.216,94.024
120,98.887,90.801,74.722,92.449,57.762,57.998,58.185,59.158,58.661,58.758
130,59.265,56.419,56.937,177.235,55.75,55.57,55.636,55.745,56.399,55.325
140,55.963,55.779,56.543,55.834,55.211,55.96,56.874,55.856,55.949,55.917
150,55.574,55.349,55.368,55.608,54.964,55.416,55.054,55.157,55.696,56.249
160,54.901,55.611,179.856,56.303,55.986,55.958,55.435,56.001,55.882,55.741
170,56.249,55.74,56.784,55.21,55.962,56.281,55.919,55.531,182.896,56.832
180,56.364,56.978,55.92,55.684,55.411,55.933,55.461,56.196,56.577,56.311
190,56.183,57.345,176.317,55.662,55.271,55.666,55.011,55.363,55.654,56.881
200,55.063,55.896,54.933,55.471,54.924,55.732,55.295,55.038,55.29,55.698
210,55.768,54.957,55.53,55.387,55.09,55.153,55.177,55.62,176.158,55.441
220,55.251,55.285,56.233,56.718,55.584,55.417,54.943,54.794,55.551,55.13
230,55.254,55.569,55.628,,,,,,,
,,,,,,,,,,
35 - APES RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,56.534,56.854,56.263,55.774,56.09,55.59,56.959,56.27,55.613
10,56.557,55.781,55.99,56.114,55.989,56.677,56.19,55.687,56.013,56.135
20,55.604,55.878,55.793,55.854,56.109,56.589,55.677,55.769,55.911,55.348
30,56.811,57.693,55.599,56.19,55.48,55.995,56.666,57.737,57.498,55.403
40,55.776,55.292,176.67,57.682,56.643,56.291,57.216,56.427,56.282,56.455
50,55.952,56.079,56.036,56.262,55.53,55.694,55.66,55.722,55.827,55.99
60,56.576,56.533,55.694,56.184,176.398,56.401,56.157,55.695,56.635,56.647
70,56.054,55.647,55.453,55.847,55.771,55.409,55.564,55.706,56.121,55.49
80,55.731,55.907,56.243,55.459,55.483,55.54,55.652,55.769,55.305,55.285
90,56.273,55.355,55.554,55.419,55.762,55.366,55.731,55.592,55.69,55.377
100,177.331,56.495,55.763,55.704,55.374,56.419,55.748,56.32,55.472,55.106
110,55.529,55.541,56.953,57.586,176.543,57.233,56.368,55.879,56.155,55.841
120,56.362,105.495,94.237,88.95,78.372,101.082,57.913,56.288,56.479,55.991
130,55.833,57.015,56.823,56.694,56.042,56.535,56.094,56.241,56.373,56.268
140,56.768,56.419,183.718,55.951,55.74,55.723,55.907,55.88,55.298,56.013
150,55.579,55.46,55.269,55.449,55.145,55.534,55.443,55.603,55.199,56.096
160,56.509,55.482,55.347,55.626,55.297,55.479,55.631,55.607,55.166,56.201
170,55.247,55.446,55.377,55.153,55.878,55.445,174.806,55.945,55.757,55.579
180,55.255,55.819,55.731,55.435,55.267,56.124,55.732,56.169,55.818,55.26
190,55.989,55.766,55.32,55.631,55.179,55.557,177.695,56.529,55.518,56.081
200,55.893,55.513,56.061,57.078,55.594,55.845,55.985,56.173,176.907,180.417
210,56.055,56.605,57.58,56.647,56.881,55.928,56.03,55.438,56.398,55.737
220,56.435,177.592,55.833,56.596,55.879,55.967,55.19,56.532,56.675,56.642
